Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Estonia,EST,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,36000000000.00,36100000000.00,39600000000.00,40400000000.00,39000000000.00,41900000000.00,43800000000.00,46800000000.00,50700000000.00,54800000000.00,58100000000.00,67100000000.00,73100000000.00,78000000000.00,65100000000.00,62600000000.00,65400000000.00,69800000000.00,68700000000.00,73500000000.00,77200000000.00,82700000000.00,86400000000.00,90200000000.00
Estonia,EST,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,40700000000.00,41700000000.00,46200000000.00,47400000000.00,46600000000.00,50700000000.00,52900000000.00,56700000000.00,61800000000.00,66800000000.00,77900000000.00,86500000000.00,100000000000.00,94500000000.00,78300000000.00,72200000000.00,74600000000.00,82700000000.00,84800000000.00,85800000000.00,91500000000.00,94700000000.00,99900000000.00,105000000000.00
Estonia,EST,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,40400000000.00,41900000000.00,46000000000.00,47000000000.00,45200000000.00,48500000000.00,50100000000.00,53100000000.00,56800000000.00,61300000000.00,64500000000.00,74000000000.00,80300000000.00,85100000000.00,71600000000.00,68500000000.00,71300000000.00,75800000000.00,74400000000.00,79200000000.00,82800000000.00,88300000000.00,92000000000.00,96000000000.00
Estonia,EST,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,45700000000.00,48500000000.00,53600000000.00,55100000000.00,53900000000.00,58700000000.00,60400000000.00,64200000000.00,69200000000.00,74700000000.00,86400000000.00,95400000000.00,110000000000.00,103000000000.00,86100000000.00,79000000000.00,81300000000.00,89800000000.00,91900000000.00,92400000000.00,98200000000.00,101000000000.00,106000000000.00,112000000000.00
Estonia,EST,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,4410000000.00,5870000000.00,6420000000.00,6590000000.00,6130000000.00,6580000000.00,6230000000.00,6260000000.00,6090000000.00,6470000000.00,6380000000.00,6900000000.00,7220000000.00,7090000000.00,6460000000.00,5900000000.00,5890000000.00,6010000000.00,5760000000.00,5670000000.00,5610000000.00,5610000000.00,5560000000.00,5800000000.00
Estonia,EST,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,4990000000.00,6790000000.00,7480000000.00,7740000000.00,7320000000.00,7960000000.00,7520000000.00,7580000000.00,7420000000.00,7880000000.00,8550000000.00,8900000000.00,9880000000.00,8580000000.00,7770000000.00,6800000000.00,6720000000.00,7120000000.00,7100000000.00,6620000000.00,6650000000.00,6430000000.00,6430000000.00,6770000000.00
Estonia,EST,Natural capital (constant 2018 US$),NW.NCA.TO,16100000000.00,16400000000.00,17300000000.00,17700000000.00,18800000000.00,17400000000.00,18100000000.00,18200000000.00,18600000000.00,19400000000.00,18200000000.00,17600000000.00,16700000000.00,16700000000.00,16200000000.00,16900000000.00,18500000000.00,19300000000.00,20600000000.00,21600000000.00,21100000000.00,20600000000.00,19600000000.00,19700000000.00
Estonia,EST,Natural capital per capita (constant 2018 US$),NW.NCA.PC,11215.31,11577.05,12353.03,12740.35,13510.39,12435.50,13037.69,13225.93,13603.19,14227.39,13441.51,13083.10,12472.45,12472.29,12123.62,12705.58,13929.52,14625.69,15663.91,16468.82,16008.09,15671.00,14896.03,14938.47
Estonia,EST,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,5558.85,5386.73,5045.37,4505.56,3928.05,3407.53,3282.08,3159.69,3066.88,3229.07,3250.65,3334.40,3369.32,3521.15,3391.42,3443.93,3526.21,3482.27,3636.25,3808.18,3721.15,3710.52,3449.30,3415.13
Estonia,EST,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,2700.06,2588.77,2319.63,2081.59,1794.48,1464.68,1408.55,1404.10,1399.47,1421.04,1357.41,1450.52,1436.99,1471.12,1452.85,1557.16,1596.96,1552.33,1677.99,1733.31,1713.67,1839.47,1575.66,1625.78
Estonia,EST,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,2858.79,2797.97,2725.74,2423.97,2133.57,1942.85,1873.54,1755.59,1667.41,1808.04,1893.24,1883.88,1932.33,2050.02,1938.57,1886.77,1929.25,1929.95,1958.26,2074.87,2007.48,1871.05,1873.64,1789.35
